freq,string
431506,the United States
431506,the United States
430973,one of the
430973,one of the
415026,^ a b
415026,^ a b
327779,Retrieved on 2007
327779,Retrieved on 2007
322468,as well as
322468,as well as
310872,Retrieved on 2008
310872,Retrieved on 2008
291526,part of the
291526,part of the
186991,member of the
186991,member of the
179745,the end of
179745,the end of
177966,in the United
177966,in the United
176907,the University of
176907,the University of
170732,a b c
170732,a b c
149348,a number of
149348,a number of
149341,the age of
149341,the age of
147964,a member of
147964,a member of
147638,citation needed ]
147638,citation needed ]
147630,[ citation needed
147630,[ citation needed
143797,of the United
143797,of the United
139216,% of the
139216,% of the
129077,end of the
129077,end of the
123171,is one of
123171,is one of
121538,World War II
121538,World War II
115961,was born in
115961,was born in
114307,known as the
114307,known as the
110552,in order to
110552,in order to
100902,United States Census
100902,United States Census
100093,of the population
100093,of the population
100090,States Census Bureau
100090,States Census Bureau
97680,New York City
97680,New York City
97182,at the Internet
97182,at the Internet
96402,Internet Movie Database
96402,Internet Movie Database
95328,b c d
95328,b c d
94239,also known as
94239,also known as
93909,at the time
93909,at the time
91911,the Internet Movie
91911,the Internet Movie
91633,the United Kingdom
91633,the United Kingdom
91199,members of the
91199,members of the
88568,such as the
88568,such as the
87263,was the first
87263,was the first
86837,years of age
86837,years of age
84351,was one of
84351,was one of
84036,of the most
84036,of the most
83853,According to the
83853,According to the
82605,to be a
82605,to be a
79538,under the age
79538,under the age
79531,as part of
79531,as part of
78119,of the Year
78119,of the Year
78068,Retrieved on 2006
78068,Retrieved on 2006
77246,age of 18
77246,age of 18
76793,New York Times
76793,New York Times
75737,due to the
75737,due to the
75499,to the United
75499,to the United
75036,of the first
75036,of the first
75009,in New York
75009,in New York
74649,based on the
74649,based on the
74182,the name of
74182,the name of
73754,of age or
73754,of age or
73520,age or older
73520,age or older
73384,65 years of
73384,65 years of
73241,every 100 females
73241,every 100 females
73228,For every 100
73228,For every 100
73181,income for a
73181,income for a
73156,median income for
73156,median income for
71602,at the University
71602,at the University
69993,some of the
69993,some of the
69756,to be the
69756,to be the
69721,a series of
69721,a series of
69512,of the city
69512,of the city
69123,located in the
69123,located in the
67297,most of the
67297,most of the
66617,out of the
66617,out of the
65537,referred to as
65537,referred to as
65301,the use of
65301,the use of
65096,[ 10 ]
65096,[ 10 ]
64968,age 18 and
64968,age 18 and
64212,in the early
64212,in the early
64081,% of those
64081,% of those
63721,may refer to
63721,may refer to
63455,at the end
63455,at the end
63107,the city of
63107,the city of
62314,the rest of
62314,the rest of
62134,in the city
62134,in the city
60122,New South Wales
60122,New South Wales
59959,the first time
59959,the first time
59563,the New York
59563,the New York
59374,c d e
59374,c d e
59106,in the world
59106,in the world
59089,Wikimedia Commons has
59089,Wikimedia Commons has
59081,media related to
59081,media related to
59043,has media related
59043,Commons has media
59043,has media related
59043,Commons has media
58792,of the same
58792,of the same
58768,well as the
58768,well as the
58346,[ 11 ]
58346,[ 11 ]
57137,version of the
57137,version of the
56642,Hall of Fame
56642,Hall of Fame
56578,History of the
56578,History of the
56541,for the first
56541,for the first
56315,Place of birth
56315,Place of birth
55177,made up of
55177,made up of
54904,in the first
54904,in the first
54227,Date of birth
54227,Date of birth
54213,and in the
54213,and in the
54074,the Battle of
54074,the Battle of
53903,is a village
53903,is a village
53884,side of the
53884,side of the
53864,the time of
53864,the time of
53808,is located in
53808,is located in
53737,It is a
53737,It is a
53228,This article is
53228,This article is
53118,is part of
53118,is part of
53086,is an American
53086,is an American
52561,the state of
52561,the state of
52201,As of the
52201,As of the
52169,[ 12 ]
52169,[ 12 ]
52163,One of the
52163,One of the
52096,as one of
52096,as one of
51843,House of Representatives
51843,House of Representatives
51608,a population of
51608,a population of
51479,a variety of
51479,a variety of
51449,the beginning of
51449,the beginning of
51348,is also a
51348,is also a
50947,and communities of
50947,and communities of
50788,Municipalities and communities
50788,Municipalities and communities
50687,the fact that
50687,the fact that
50226,in the U
50226,in the U
49684,the number of
49684,the number of
49600,went on to
49600,went on to
49531,President of the
49531,President of the
49294,the same time
49294,the same time
49173,in the late
49173,in the late
48772,in the UK
48772,in the UK
48492,Studio album by
48492,Studio album by
48484,He was a
48484,He was a
48352,In addition to
48352,In addition to
48031,to have been
48031,to have been
48021,in the area
48021,in the area
47903,of the National
47903,of the National
47637,is located at
47637,is located at
47597,a group of
47597,a group of
47523,a result of
47523,a result of
46879,[ 13 ]
46879,[ 13 ]
46408,at the age
46408,at the age
46032,It is the
46032,It is the
45782,was founded in
45782,was founded in
45475,National Register of
45475,National Register of
45216,rest of the
45216,rest of the
45132,Register of Historic
45132,Register of Historic
45099,of Historic Places
45099,of Historic Places
44878,in the same
44878,in the same
44787,a part of
44787,a part of
44092,the population was
44092,the population was
43834,the death of
43834,the death of
43766,there is a
43766,there is a
43630,in which the
43630,in which the
43425,the son of
43425,the son of
43270,the town of
43270,the town of
43111,many of the
43111,many of the
42932,[ 14 ]
42932,[ 14 ]
42925,This is a
42925,This is a
42782,as a result
42782,as a result
41682,the census of
41682,the census of
41571,World War I
41571,World War I
41565,of the world
41565,of the world
41548,of the census
41548,of the census
41414,% of all
41414,% of all
41366,of the town
41366,of the town
40396,d e f
40396,d e f
40233,the development of
40233,the development of
40089,the same name
40089,the same name
40085,the House of
40085,the House of
39773,that he was
39773,that he was
39630,has a total
39630,has a total
39626,of New York
39626,of New York
39564,of the World
39564,of the World
39490,a species of
39490,a species of
39484,The New York
39484,The New York
39352,total area of
39352,total area of
39348,was released in
39348,was released in
39337,the 2000 census
39337,the 2000 census
39326,two or more
39326,two or more
39222,at an average
39222,at an average
39000,IUCN Red List
39000,IUCN Red List
38906,in the town
38906,in the town
38882,[ 15 ]
38882,[ 15 ]
38623,the population were
38623,the population were
38618,As a result
38618,As a result
38582,a total area
38582,a total area
38559,used in the
38559,used in the
38446,a list of
38446,a list of
38397,All Music Guide
38397,All Music Guide
38384,out of which
38384,out of which
38350,he was a
38350,he was a
38259,is in the
38259,is in the
38172,back to the
38172,back to the
38005,It is also
38005,It is also
37985,per square mile
37985,per square mile
37967,is the only
37967,is the only
37844,per capita income
37844,per capita income
37819,residing in the
37819,residing in the
37809,Red List of
37809,Red List of
37786,List of Threatened
37786,List of Threatened
37780,of the American
37780,of the American
37711,makeup of the
37711,makeup of the
37705,He was the
37705,He was the
37699,of Threatened Species
37699,of Threatened Species
37665,Communes of the
37665,Communes of the
37626,and the average
37626,and the average
37603,in the state
37603,in the state
37552,the poverty line
37552,the poverty line
37488,The population density
37488,The population density
37481,below the poverty
37481,below the poverty
37465,is a species
37465,is a species
37456,For other uses
37456,For other uses
37358,is a former
37358,is a former
37296,is also the
37296,is also the
37266,is at coordinates
37266,is at coordinates
37221,was a member
37221,was a member
37211,income for the
37211,income for the
37188,all of the
37188,all of the
37163,income of $
37163,income of $
37110,racial makeup of
37110,racial makeup of
37092,children under the
37092,children under the
37089,for a family
37089,for a family
37085,The racial makeup
37085,The racial makeup
37000,of individuals and
37000,of individuals and
36967,parts of the
36967,parts of the
36863,The median age
36863,The median age
36825,from 25 to
36825,from 25 to
36814,of the Royal
36814,of the Royal
36800,The average household
36800,The average household
36793,average household size
36793,average household size
36766,were made up
36766,were made up
36741,from 45 to
36741,from 45 to
36737,living with them
36737,living with them
36727,18 and over
36727,18 and over
36721,the median income
36721,when he was
36721,the median income
36721,when he was
36719,The per capita
36719,The per capita
36718,up of individuals
36718,up of individuals
36714,the average family
36714,the average family
36706,from 18 to
36706,from 18 to
36690,of all households
36690,couples living together
36690,of all households
36690,couples living together
36684,and the median
36684,and the median
36675,average density of
36675,average density of
36644,45 to 64
36644,45 to 64
36643,average family size
36643,average family size
36639,25 to 44
36639,25 to 44
36631,capita income for
36631,capita income for
36629,R & B
36629,R & B
36626,an average density
36626,an average density
36624,married couples living
36624,married couples living
36612,% from 45
36612,% from 45
36604,median income of
36604,housing units at
36604,median income of
36604,housing units at
36594,units at an
36594,units at an
36591,population density was
36591,population density was
36586,of 18 living
36586,of 18 living
36583,18 living with
36583,18 living with
36582,for a household
36582,for a household
36579,the history of
36579,the history of
36574,% under the
36574,% under the
36566,% from 25
36566,% from 25
36559,a median income
36559,a median income
36555,someone living alone
36555,someone living alone
36547,living alone who
36547,living alone who
36540,18 to 24
36540,18 to 24
36539,families residing in
36539,families residing in
36537,The median income
36537,The median income
36528,household in the
36528,household in the
36525,females age 18
36525,females age 18
36510,100 females there
36510,100 females age
36510,100 females there
36510,100 females age
36489,2006 IUCN Red
36489,2006 IUCN Red
36488,a household in
36488,a household in
36399,% from 18
36399,% from 18
36390,had a median
36390,had a median
36388,census of 2000
36388,census of 2000
36343,household size was
36343,household size was
36312,spread out with
36312,spread out with
36305,median age was
36305,median age was
36295,households out of
36295,households out of
36294,used as a
36294,used as a
36279,households were made
36279,households were made
36256,family size was
36256,family size was
36252,% were non
36252,% were non
36251,part of a
36251,part of a
36246,were married couples
36246,were married couples
36240,% were married
36240,% were married
36227,all households were
36227,all households were
36187,had someone living
36187,had someone living
36185,were 65 years
36185,were 65 years
36177,was 65 years
36177,was 65 years
36175,a family was
36175,a family was
36160,had children under
36160,had children under
36151,family was $
36151,family was $
36146,Males had a
36146,Males had a
36145,alone who was
