freq,string
9601296,of the
5671456,in the
2849218,to the
2045889,and the
1930385,is a
1903591,on the
1678814,for the
1560510,at the
1332506,by the
1320071,from the
1219180,with the
1171163,as a
1051067,External links
981731,United States
932133,of a
912469,to be
870716,is the
847561,as the
825781,in a
807931,Retrieved on
743549,was a
727568,the first
695012,New York
642953,one of
623122,with a
585706,It is
580542,that the
562408,the United
552176,In the
548923,was the
546096,and a
529111,such as
529045,he was
520815,See also
508945,List of
501765,part of
489876,for a
469998,to a
460701,of his
442425,He was
424325,has been
420950,it is
416259,a b
415519,^ a
409365,University of
400909,the same
399559,known as
398455,during the
397628,as well
391024,is an
389789,it was
374076,and was
371091,It was
369294,can be
336994,into the
333964,have been
332000,well as
331306,on 2007
329415,% of
324587,on a
322706,by a
319274,number of
314271,and is
313948,under the
312340,on 2008
306397,sq mi
297770,has a
297567,the city
287391,is also
268717,the most
264641,after the
263350,out of
261928,due to
260287,High School
254739,that he
254561,which is
254048,in his
254036,had a
247598,and in
247365,and his
245400,member of
238655,had been
235416,to have
229938,end of
222319,the world
220011,as an
217270,is not
215284,of this
215054,over the
214753,the end
211998,a new
211962,which was
210134,World War
208638,based on
208212,and other
205547,did not
203626,the time
201878,He is
198913,in which
198875,the University
196852,W ﻿
194250,Preceded by
192317,was also
192164,the second
192055,the town
191497,of their
190698,through the
189883,was an
189740,between the
187768,for his
185155,more than
184825,where he
181626,was born
179928,of which
178472,of its
178446,from a
177388,the U
177116,the name
175685,Succeeded by
175624,United Kingdom
175606,the other
175391,History of
174486,located in
174208,when the
173452,% from
173189,to his
173067,is located
172496,New Zealand
170812,b c
169172,would be
169054,According to
168902,about the
168453,used to
167914,who was
167395,of an
166051,There are
165904,the population
165241,the two
165130,there were
163101,the National
162281,may be
160739,the new
160105,This is
159297,Los Angeles
158757,age of
156776,a number
156255,At the
155782,born in
155525,a member
155514,into a
154694,was not
154489,with his
152983,the age
152660,at a
151835,in an
151689,will be
151301,needed ]
150295,within the
150171,the early
150073,The first
149879,et al
149199,years of
149104,the last
147919,along with
147832,up to
147819,citation needed
147715,of all
147671,[ citation
147232,the New
146951,the band
146251,the original
146034,Battle of
144409,the only
141773,the state
141748,use of
141667,he is
141542,of these
141356,a small
140589,the following
140491,when he
140021,is one
139734,against the
139423,they are
139354,the British
139217,related to
138795,used in
138556,able to
137996,that it
137382,House of
137008,he had
136732,to make
136543,Republic of
136428,and then
135967,won the
135662,there is
135510,During the
135007,be a
134314,and has
134244,the American
134079,a few
133728,a large
133728,members of
132629,in this
132629,that is
132575,order to
132047,they were
131933,but the
131823,does not
131534,in New
131457,area of
130170,most of
129690,Department of
129396,became a
128233,the area
128091,the main
127530,have a
127519,served as
126206,As of
125831,around the
124357,all the
124118,the game
123826,she was
123819,de la
123480,version of
123448,returned to
123369,some of
122739,ISBN 0
122500,in their
122298,moved to
122101,refer to
122013,New Jersey
121978,back to
121918,in order
121848,War II
121275,before the
121120,which he
120550,was released
120400,became the
120008,and its
119929,and he
119666,of The
119582,the Internet
119257,the late
118971,are the
118906,Main article
117791,of her
117716,and to
117697,where the
117640,After the
116919,of New
116702,of birth
116293,For the
115565,the country
115260,that they
114774,He also
114055,is now
113557,is in
113177,which the
113077,all of
112784,the film
112774,On the
112342,the World
112236,the next
112173,was $
112004,his own
111996,him to
111375,This article
111251,income for
110938,be the
110827,an American
110743,state of
110530,name of
110341,with an
110297,E ﻿
110003,median income
109941,found in
109937,son of
109521,City of
109479,Census Bureau
108901,there are
108715,the album
108588,a single
108389,also known
108186,series of
108176,% had
108156,was in
